Method;Family;n;studies;species;Ln-Ratio;Accuracy deviation \%;Slope;Slope (ln-ln);Z-Cor;r
CHP;Pulse;63;16;21;0.133;14.225;0.887;0.783;1.837;0.95
T-max;Pulse;11;5;6;-0.053;-5.162;0.614;0.697;1.755;0.942
HR;Pulse;23;6;7;-0.145;-13.498;0.845;0.841;2;0.964
HFD;Field;57;3;4;-0.073;-7.04;0.901;0.782;2.378;0.983
SHB;Balance;8;5;6;-0.242;-21.494;0.847;0.967;2.287;0.98
TD;Dissipation;115;18;35;-0.519;-40.488;0.683;1.066;1.711;0.937
TTD;Dissipation;14;2;6;-0.493;-38.921;0.669;0.985;1.464;0.899
all;Pulse;97;;30;0.012;1.167;0.844;0.787;1.874;0.954
all;Field;57;;4;-0.008;-0.82;0.896;0.762;2.322;0.981
all;Balance;8;;6;-0.244;-21.65;0.854;0.972;2.294;0.98
all;Dissipation;129;;37;-0.464;-37.153;0.681;1.052;1.666;0.931
