Study;Method;Species;Calibration material;Wood porosity;Diameter
;;;;;(cm)
Alarcon et al. 2005;CHP;Citrus limon;whole plant;Diffuse-porous;2.5
Ballester et al. 2011;CHP;Citrus clementina;whole plant;Diffuse-porous;NA
Barret et al. 1995;CHP;Corymbia maculata;without roots;Diffuse-porous;NA
Bleby et al. 2004;CHP;Eucalyptus marginata;whole plant;Diffuse-porous;10
Bleby et al. 2004;HR;Eucalyptus marginata;whole plant;Diffuse-porous;10
Braun and Schmid 1999;TD;Vitis vinifera;whole plant;Ring-porous;3.8
Burgess et al. 2001;HR;Eucalyptus marginata;whole plant;Diffuse-porous;NA
Bush et al. 2010;TD;Populus fremontii;stem segment;Diffuse-porous;5.1
Bush et al. 2010;TD;Tilia cordata;stem segment;Diffuse-porous;4.8
Cain 2009;TD;Macaranga hypoleuca;stem segment;Diffuse-porous;82
Cain 2009;TD;Macaranga pearsonii;stem segment;Diffuse-porous;67
Caspari et al. 1993;CHP;Pyrus serotina;whole plant;Diffuse-porous;6.6
Caterina et al. 2013;TD;Juniperus virginiana;stem segment;Coniferous;8
Chan 2015;TD;Abies concolor;stem segment;Coniferous;6
Cohen et al. 1981;T-max;Platanus orientalis;stem segment;Diffuse-porous;6.7
Cohen et al. 1981;T-max;Populus alba;stem segment;Diffuse-porous;6.7
Cohen et al. 1998;T-max;Malus domestica;whole plant;Diffuse-porous;NA
Dragoni et al. 2005;CHP;Malus domestica;whole plant;Diffuse-porous;6.5
Dye et al. 1996;CHP;Pinus patula;without roots;Coniferous;NA
Fernandez et al. 2006;CHP;Citrus sinensis;stem segment;Diffuse-porous;7.8
Fernandez et al. 2006;CHP;Citrus sinensis;without roots;Diffuse-porous;10.4
Fernandez et al. 2006;CHP;Olea europaea;stem segment;Diffuse-porous;8.2
Fernandez et al. 2006;CHP;Olea europaea;without roots;Diffuse-porous;9.8
Fernandez et al. 2006;CHP;Prunus domestica;stem segment;Diffuse-porous;8
Fernandez et al. 2006;CHP;Prunus domestica;without roots;Diffuse-porous;7
Fernandez et al. 1999;CHP;Olea europaea;stem segment;Diffuse-porous;8.8
Fernandez et al. 1999;CHP;Olea europaea;without roots;Diffuse-porous;NA
Fuchs et al. 2017;HFD;Acer pseudoplatanus;stem segment;Diffuse-porous;10.6
Fuchs et al. 2017;HFD;Fagus sylvatica;stem segment;Diffuse-porous;9.4
Fuchs et al. 2017;HFD;Tilia cordata;stem segment;Diffuse-porous;9.3
Fuchs et al. 2017;HR;Acer pseudoplatanus;stem segment;Diffuse-porous;10.4
Fuchs et al. 2017;HR;Fagus sylvatica;stem segment;Diffuse-porous;9.3
Fuchs et al. 2017;HR;Tilia cordata;stem segment;Diffuse-porous;9.9
Fuchs et al. 2017;TD;Acer campestre;stem segment;Diffuse-porous;11.8
Fuchs et al. 2017;TD;Acer pseudoplatanus;stem segment;Diffuse-porous;10.8
Fuchs et al. 2017;TD;Fagus sylvatica;stem segment;Diffuse-porous;9.8
Fuchs et al. 2017;TD;Populus nigra;stem segment;Diffuse-porous;10.8
Fuchs et al. 2017;TD;Tilia cordata;stem segment;Diffuse-porous;9.4
Gonzalez-Altozano et al. 1998;CHP;Citrus reticulata;whole plant;Diffuse-porous;11.5
Gonzalez-Altozano et al. 1998;T-max;Citrus reticulata;whole plant;Diffuse-porous;11.5
Granier 1985;TD;Pinus nigra;stem segment;Coniferous;4.5
Granier 1985;TD;Pseudotzuga menziesii;stem segment;Coniferous;4.5
Granier 1985;TD;Quercus pedunculata;stem segment;Ring-porous;4.5
Green et al. 1988;CHP;Actinidia chinensis;stem segment;Diffuse-porous;5.3
Green et al. 1988;CHP;Actinidia chinensis;whole plant;Diffuse-porous;5.4
Green et al. 1988;CHP;Malus sylvestris;whole plant;Diffuse-porous;5.6
Gutierrez-soto et al. 2012;HR;Carica papaya;whole plant;Monocot;NA
Gutierrez et al. 1994;SHB;Acacia koa;whole plant;Diffuse-porous;NA
Gutierrez et al. 1994;SHB;Coffea arabica;whole plant;Diffuse-porous;NA
Hatton et al. 1995;CHP;Eucalyptus populnea;without roots;Diffuse-porous;5.4
Heilman et al. 1990;SHB;Ligustrum japonicum;whole plant;Diffuse-porous;1
Herbs et al. 2007;TD;Acer campestre;stem segment;Diffuse-porous;NA
Herbs et al. 2007;TD;Crataegus monogina;stem segment;Diffuse-porous;NA
Hultine et al. 2010;TD;Tamarix ramossisima;stem segment;Ring-porous;4.2
Intrigliolo et al. 2009;T-max;Vitis vinifera;whole plant;Ring-porous;NA
Isarangkool et al. 2009;TTD;Citrus maxima;stem segment;Diffuse-porous;5.1
Isarangkool et al. 2009;TTD;Hevea brasiliensis;stem segment;Diffuse-porous;4.7
Isarangkool et al. 2009;TTD;Mangifera indica;stem segment;Diffuse-porous;4.4
Johan Uddling et al. 2009;TD;Betula papyrifera;stem segment;Diffuse-porous;NA
Lu 2002;TD;Garcinia mangostana;whole plant;Diffuse-porous;4
Lu 2002;TD;Mangifera indica;whole plant;Diffuse-porous;2.3
Lu 2002;TD;Musa spp.;whole plant;Monocot;12
Lu and Chacko 1998;TD;Mangifera indica;whole plant;Diffuse-porous;2.3
Madurapperuma et al. 2009;HR;Syagrus romanzoffiana;whole plant;Monocot;NA
Michell et al. 2009;HR;Eucalyptus capillosa;without roots;Diffuse-porous;6.5
Montague et al. 2006;TD;Liquidambar styraciflua;whole plant;Diffuse-porous;5.3
Montague et al. 2006;TD;Populus deltoides;whole plant;Diffuse-porous;5.6
Montague et al. 2006;TD;Pyrus calleryana;whole plant;Diffuse-porous;6.6
Montague et al. 2006;TD;Quercus robur x Q. bicolor;whole plant;Ring-porous;5.7
Nadezhdina et al. 1998;HFD;Tilia cordata;without roots;Diffuse-porous;12
Nortes et al. 2009;CHP;Prunus dulcis;whole plant;Diffuse-porous;15
Paudel et al. 2013;TD;Malus domestica;stem segment;Diffuse-porous;4
Paudel et al. 2013;TD;Peltophorum dubium;stem segment;Diffuse-porous;3.7
Paudel et al. 2013;TD;Prunus persica;stem segment;Diffuse-porous;4
Paudel et al. 2013;TTD;Malus domestica;stem segment;Diffuse-porous;4
Paudel et al. 2013;TTD;Peltophorum dubium;stem segment;Diffuse-porous;3.7
Paudel et al. 2013;TTD;Prunus persica;stem segment;Diffuse-porous;4
Peters et al. 2017;TD;Larix decidua;stem segment;Coniferous;16.5
Peters et al. 2017;TD;Picea abies;stem segment;Coniferous;15.9
Prendergast et al. 2007;T-max;Actinidia chinensis;stem segment;Diffuse-porous;9.5
Shackel et al. 1992;SHB;Prunus persica;whole plant;Diffuse-porous;6.3
Smith et al. 1995;CHP;Acacia holosericea;stem segment;Diffuse-porous;NA
Smith et al. 1995;CHP;Acacia holosericea;without roots;Diffuse-porous;NA
Smith et al. 1995;CHP;Acacia nilotica;stem segment;Diffuse-porous;NA
Smith et al. 1995;CHP;Azadirachta indica;stem segment;Diffuse-porous;NA
Smith et al. 1995;CHP;Azadirachta indica;without roots;Diffuse-porous;NA
Sperling et al. 2012;TD;Phoenix datylifera;whole plant;Monocot;60
Steppe et al. 2010;CHP;Fagus grandifolia;stem segment;Diffuse-porous;18
Steppe et al. 2010;HFD;Fagus grandifolia;stem segment;Diffuse-porous;18.1
Steppe et al. 2010;TD;Fagus grandifolia;stem segment;Diffuse-porous;18
Sun et al. 2012;TD;Liquidambar styraciflua;without roots;Diffuse-porous;7.5
Sun et al. 2012;TD;Pinus echinata;without roots;Coniferous;7.5
Sun et al. 2012;TD;Pinus taeda;without roots;Coniferous;7.5
Sun et al. 2012;TD;Populus deltoides;without roots;Diffuse-porous;7.5
Sun et al. 2012;TD;Quercus alba;without roots;Ring-porous;7.5
Sun et al. 2012;TD;Ulmus americana;without roots;Ring-porous;7.5
Swanson & Whitfield 1981;CHP;Nothofagus solandri;whole plant;Diffuse-porous;11
Swanson & Whitfield 1981;CHP;Pinus radiata;whole plant;Coniferous;5
Urban et al. 2012;SHB;Humulus lupulus;without roots;Ring-porous;NA
Vellame et al. 2010;SHB;Citrus sinensis;whole plant;Diffuse-porous;1.4
